#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=1200 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:118 out:118 type:B dur:2 cpbdur:2 q:30.74 aq:26.13 tex:16237 mv:11077 misc:3158 imb:157 pmb:1303 smb:2140 d:s ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:30.73 aq:25.52 tex:2171 mv:5019 misc:2522 imb:12 pmb:697 smb:2891 d:s ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:30.75 aq:26.75 tex:7825 mv:4912 misc:2335 imb:87 pmb:663 smb:2850 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:30.72 aq:25.18 tex:81443 mv:21085 misc:1984 imb:545 pmb:2634 smb:421 d:s ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:30.74 aq:26.39 tex:18777 mv:10985 misc:3174 imb:180 pmb:1268 smb:2152 d:t ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:30.75 aq:27.44 tex:7991 mv:6172 misc:2509 imb:107 pmb:728 smb:2765 d:s ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:30.73 aq:26.17 tex:2073 mv:3494 misc:2249 imb:12 pmb:595 smb:2993 d:- ref:0 ;
in:128 out:125 type:P dur:2 cpbdur:2 q:30.74 aq:25.52 tex:69330 mv:20875 misc:2195 imb:504 pmb:2582 smb:514 d:s ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:30.73 aq:26.47 tex:11205 mv:10031 misc:3100 imb:142 pmb:1083 smb:2375 d:t ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:30.72 aq:26.92 tex:7558 mv:5654 misc:2324 imb:107 pmb:688 smb:2805 d:s ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:30.74 aq:27.34 tex:1316 mv:2377 misc:1787 imb:4 pmb:364 smb:3232 d:- ref:0 ;
in:132 out:129 type:P dur:2 cpbdur:2 q:30.78 aq:25.66 tex:60012 mv:20589 misc:2335 imb:538 pmb:2471 smb:591 d:s ref:0 ;
in:130 out:130 type:B dur:2 cpbdur:2 q:30.76 aq:26.48 tex:10633 mv:9345 misc:2934 imb:152 pmb:1004 smb:2444 d:s ref:0 ;
in:129 out:131 type:b dur:2 cpbdur:2 q:30.75 aq:26.37 tex:5972 mv:4388 misc:2104 imb:100 pmb:521 smb:2979 d:s ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:30.77 aq:26.33 tex:5207 mv:4266 misc:2111 imb:90 pmb:488 smb:3022 d:- ref:0 ;
in:136 out:133 type:P dur:2 cpbdur:2 q:30.72 aq:26.47 tex:38456 mv:18741 misc:3011 imb:578 pmb:2027 smb:995 d:s ref:0 ;
in:134 out:134 type:B dur:2 cpbdur:2 q:30.75 aq:26.84 tex:7412 mv:8661 misc:3159 imb:104 pmb:957 smb:2539 d:t ref:0 ;
